id,timezone,venue_id,race_number,distance,condition_id,weather_id,total_pool_one_win,total_pool_one_place,total_pool_two_win,total_pool_two_place,total_pool_three_win,total_pool_three_place
198,7/1/16 21:21,44,5,1600,6,1,15954.83,,18060.5,5409.5,15213.1,5409.5
199,7/1/16 21:25,36,7,1100,6,2,147028.83,,134181,55759.4,166669,55759.4
200,7/1/16 21:27,47,2,1100,9,1,852.81,,2412.5,492.5,8078.83,492.5
201,7/1/16 21:29,37,7,1200,5,1,3975.48,,16844.5,7726.5,4574.1,7726.5
202,7/1/16 21:33,41,6,1600,8,2,110607.18,,43363.5,16922.5,40067,16922.5
203,7/1/16 21:35,45,5,1100,1,1,4015.18,,7494,2606.5,4215.5,2606.5
204,7/1/16 21:37,42,6,1300,5,1,12451.71,,13591.5,3940.5,10276.5,3940.5
205,7/1/16 21:39,46,5,1200,4,1,403.78,,2495.5,802,1947.5,802
206,7/1/16 21:41,43,6,1620,3,2,3539.68,,10699.5,4047,24389.5,4047
207,7/1/16 21:45,38,8,1200,7,1,111325.95,,213788,91313.3,76790.2,91313.3
208,7/1/16 21:49,39,7,1800,5,1,5568.37,,10548,3434.5,7135.67,3434.5
209,7/1/16 21:53,19,3,1300,5,1,29672.18,,31171.5,9641.5,41768.3,9641.5
210,7/1/16 21:57,40,7,2400,7,1,159917.85,,129052,51000.5,73559.9,51000.5
211,7/1/16 22:01,44,6,1300,6,1,4474.21,,18199.5,6374,10885.7,6374
212,7/1/16 22:05,36,8,2000,6,2,127235.35,,132740,61157,183052,61157
213,7/1/16 22:07,47,3,1435,9,1,1151.5,,3053.5,733,11263.6,733
214,7/1/16 22:09,37,8,1350,5,1,9701.17,,34992.5,12382.5,11983,12382.5
215,7/1/16 22:13,41,7,1050,8,2,49916.37,,44871,18324,31915.6,18324
216,7/1/16 22:15,45,6,1600,1,1,1727.72,,9605.5,2584.8,4200.5,2584.8
217,7/1/16 22:17,42,7,1200,5,1,3954.1,,19108.5,6675,14272,6675
218,7/1/16 22:19,46,6,1100,4,1,810.03,,2366.5,519,2661,519
219,7/1/16 22:21,43,7,1200,3,2,11786.88,,12100,5304,24288.2,5304
220,7/1/16 22:25,38,9,1500,7,1,100126.74,,198572,91165.5,71192.2,91165.5
221,7/1/16 22:29,19,4,1600,5,1,30542.65,,18147.5,7607.5,47811.6,7607.5
222,7/1/16 22:33,40,8,1300,7,1,41271.85,,91950.5,37200,42793.1,37200
223,7/1/16 22:37,44,7,1000,6,1,2432.96,,13452,4225.5,6021.63,4225.5
224,7/1/16 22:40,36,9,1200,6,2,134937.08,,170544,74902.5,216966,74902.5
225,7/1/16 22:44,47,4,1200,9,1,803.07,,2858,672.5,9574.89,672.5
226,7/1/16 22:45,39,8,1800,5,1,4241.08,,12059,4597.5,7395.44,4597.5
227,7/1/16 22:51,41,8,1200,8,2,72451.79,,82030,29291.5,62523.4,29291.5
228,7/1/16 22:55,46,7,1100,4,1,564.61,,8146,2607,7233,2607
229,7/1/16 23:05,19,5,2000,5,1,38107.78,,51263,17731,79068.1,17731
230,7/1/16 23:23,47,5,1300,9,1,14882.48,,19258,5429.5,27779.8,5429.5
231,7/1/16 23:35,46,8,1600,4,1,6188.73,,18537.5,4848,16669.5,4848
232,7/1/16 23:40,19,6,1200,5,1,44303.25,,35693,13014,60419.3,13014
233,7/2/16 0:00,47,6,1600,9,1,6787.46,,12984,3710.5,22296,3710.5
234,7/2/16 0:10,46,9,1600,4,1,7884.18,,17143,4412.5,13796.1,4412.5
235,7/2/16 0:15,19,7,1300,5,1,27908.09,,33019,13295,71036,13295
236,7/2/16 0:37,47,7,1600,9,1,2586.95,,11509,3676,24892.2,3676
237,7/2/16 0:50,19,8,2100,5,1,36088.82,,42942.5,18618,85634.4,18618
238,7/2/16 18:05,48,1,1120,3,1,4793.67,,6597,2279.5,6955.17,2279.5
239,7/2/16 18:15,49,1,1050,7,1,21015.01,,7221,1704.5,6941.73,1704.5
240,7/2/16 18:30,50,1,1100,3,1,11715.8,,5928.5,2171,5749.15,2171
241,7/2/16 18:35,51,1,1200,8,1,18436.04,,13194.5,5844,26201,5844
242,7/2/16 18:40,52,1,1208,8,1,6450.88,,9921.5,4154,6103.99,4154
